query,postive_doc,negative_doc
担保物权的定义及债务人不履行债务时的优先受偿权,"第二编 物 权,第四分编 担 保 物 权,第十六章 一 般 规 定,无,第三百八十六条【担保物权的定义】担保物权人在债务人不履行到期债务或者发生当事人约定的实现担保物权的情形依法享有就担保财产优先受偿的权利但是法律另有规定的除外。","第一编 总 则,无,第二章 自 然 人,第二节 监 护,第三十五条【监护人履行职责的原则与要求】监护人应当按照最有利于被监护人的原则履行监护职责。监护人除为维护被监护人利益外不得处分被监护人的财产。未成年人的监护人履行监护职责在作出与被监护人利益有关的决定时应当根据被监护人的年龄和智力状况尊重被监护人的真实意愿。成年人的监护人履行监护职责应当最大程度地尊重被监护人的真实意愿保障并协助被监护人实施与其智力、精神健康状况相适应的民事法律行为。对被监护人有能力独立处理的事务监护人不得干涉。"
担保物权的适用范围及反担保的法律规定,"第二编 物 权,第四分编 担 保 物 权,第十六章 一 般 规 定,无,第三百八十七条【担保物权的适用范围和反担保】债权人在借贷、买卖等民事活动中为保障实现其债权需要担保的可以依照本法和其他法律的规定设立担保物权。第三人为债务人向债权人提供担保的可以要求债务人提供反担保。反担保适用本法和其他法律的规定。","第三编 合 同,第二分编 典 型 合 同,第二十三章 委 托 合 同,无,第九百二十四条【受托人的报告义务】受托人应当按照委托人的要求报告委托事务的处理情况。委托合同终止时受托人应当报告委托事务的结果。"
民法典中关于担保物权适用范围及反担保的法律规定,"第二编 物 权,第四分编 担 保 物 权,第十六章 一 般 规 定,无,第三百八十七条【担保物权的适用范围和反担保】债权人在借贷、买卖等民事活动中为保障实现其债权需要担保的可以依照本法和其他法律的规定设立担保物权。第三人为债务人向债权人提供担保的可以要求债务人提供反担保。反担保适用本法和其他法律的规定。","第五编 婚 姻 家 庭,无,第三章 家 庭 关 系,第一节 夫 妻 关 系,第一千零六十五条【夫妻约定财产制】男女双方可以约定婚姻关系存续期间所得的财产以及婚前财产归各自所有、共同所有或者部分各自所有、部分共同所有。约定应当采用书面形式。没有约定或者约定不明确的适用本法第一千零六十二条、第一千零六十三条的规定。夫妻对婚姻关系存续期间所得的财产以及婚前财产的约定对双方具有法律约束力。夫妻对婚姻关系存续期间所得的财产约定归各自所有夫或者妻一方对外所负的债务相对人知道该约定的以夫或者妻一方的个人财产清偿。"
担保物权的适用范围及反担保的法律规定,"第二编 物 权,第四分编 担 保 物 权,第十六章 一 般 规 定,无,第三百八十七条【担保物权的适用范围和反担保】债权人在借贷、买卖等民事活动中为保障实现其债权需要担保的可以依照本法和其他法律的规定设立担保物权。第三人为债务人向债权人提供担保的可以要求债务人提供反担保。反担保适用本法和其他法律的规定。","第一编 总 则,无,第三章 法 人,第一节 一 般 规 定,第六十一条【法定代表人的定义及行为的法律后果】依照法律或者法人章程的规定代表法人从事民事活动的负责人为法人的法定代表人。法定代表人以法人名义从事的民事活动其法律后果由法人承受。法人章程或者法人权力机构对法定代表人代表权的限制不得对抗善意相对人。"
担保合同的设立要求及其与主债权债务合同的关系,"第二编 物 权,第四分编 担 保 物 权,第十六章 一 般 规 定,无,第三百八十八条【担保合同】设立担保物权应当依照本法和其他法律的规定订立担保合同。担保合同包括抵押合同、质押合同和其他具有担保功能的合同。担保合同是主债权债务合同的从合同。主债权债务合同无效的担保合同无效但是法律另有规定的除外。担保合同被确认无效后债务人、担保人、债权人有过错的应当根据其过错各自承担相应的民事责任。","第二编 物 权,第三分编 用 益 物 权,第十一章 土地承包经营权,无,第三百三十条【双层经营体制与土地承包经营制度】农村集体经济组织实行家庭承包经营为基础、统分结合的双层经营体制。农民集体所有和国家所有由农民集体使用的耕地、林地、草地以及其他用于农业的土地依法实行土地承包经营制度。"
担保合同的定义及其与主债权债务合同的关系,"第二编 物 权,第四分编 担 保 物 权,第十六章 一 般 规 定,无,第三百八十八条【担保合同】设立担保物权应当依照本法和其他法律的规定订立担保合同。担保合同包括抵押合同、质押合同和其他具有担保功能的合同。担保合同是主债权债务合同的从合同。主债权债务合同无效的担保合同无效但是法律另有规定的除外。担保合同被确认无效后债务人、担保人、债权人有过错的应当根据其过错各自承担相应的民事责任。","第一编 总 则,无,第二章 自 然 人,第一节 民事权利能力和民事行为能力,第二十四条【无民事行为能力人或限制民事行为能力人的认定与恢复】不能辨认或者不能完全辨认自己行为的成年人其利害关系人或者有关组织可以向人民法院申请认定该成年人为无民事行为能力人或者限制民事行为能力人。被人民法院认定为无民事行为能力人或者限制民事行为能力人的经本人、利害关系人或者有关组织申请人民法院可以根据其智力、精神健康恢复的状况认定该成年人恢复为限制民事行为能力人或者完全民事行为能力人。本条规定的有关组织包括居民委员会、村民委员会、学校、医疗机构、妇女联合会、残疾人联合会、依法设立的老年人组织、民政部门等。"
担保合同的从属性及无效情形的法律依据,"第二编 物 权,第四分编 担 保 物 权,第十六章 一 般 规 定,无,第三百八十八条【担保合同】设立担保物权应当依照本法和其他法律的规定订立担保合同。担保合同包括抵押合同、质押合同和其他具有担保功能的合同。担保合同是主债权债务合同的从合同。主债权债务合同无效的担保合同无效但是法律另有规定的除外。担保合同被确认无效后债务人、担保人、债权人有过错的应当根据其过错各自承担相应的民事责任。","第三编 合 同,第一分编 通 则,第二章 合同的订立,无,第四百八十六条【迟延承诺】受要约人超过承诺期限发出承诺或者在承诺期限内发出承诺按照通常情形不能及时到达要约人的为新要约但是要约人及时通知受要约人该承诺有效的除外。"
担保物权的担保范围包括哪些内容？,"第二编 物 权,第四分编 担 保 物 权,第十六章 一 般 规 定,无,第三百八十九条【担保物权的担保范围】担保物权的担保范围包括主债权及其利息、违约金、损害赔偿金、保管担保财产和实现担保物权的费用。当事人另有约定的按照其约定。","第一编 总 则,无,第二章 自 然 人,第一节 民事权利能力和民事行为能力,第十三条【自然人民事权利能力的起止】自然人从出生时起到死亡时止具有民事权利能力依法享有民事权利承担民事义务。"
担保物权的担保范围包含哪些内容？,"第二编 物 权,第四分编 担 保 物 权,第十六章 一 般 规 定,无,第三百八十九条【担保物权的担保范围】担保物权的担保范围包括主债权及其利息、违约金、损害赔偿金、保管担保财产和实现担保物权的费用。当事人另有约定的按照其约定。","第三编 合 同,第一分编 通 则,第四章 合同的履行,无,第五百零九条【合同履行的原则】当事人应当按照约定全面履行自己的义务。当事人应当遵循诚信原则根据合同的性质、目的和交易习惯履行通知、协助、保密等义务。当事人在履行合同过程中应当避免浪费资源、污染环境和破坏生态。"
担保物权的担保范围包括哪些内容？,"第二编 物 权,第四分编 担 保 物 权,第十六章 一 般 规 定,无,第三百八十九条【担保物权的担保范围】担保物权的担保范围包括主债权及其利息、违约金、损害赔偿金、保管担保财产和实现担保物权的费用。当事人另有约定的按照其约定。","第一编 总 则,无,第三章 法 人,第四节 特 别 法 人,第一百零一条【基层群众性自治组织法人】居民委员会、村民委员会具有基层群众性自治组织法人资格可以从事为履行职能所需要的民事活动。未设立村集体经济组织的村民委员会可以依法代行村集体经济组织的职能。"
担保物权在担保财产毁损灭失时的代位物提存及优先受偿规定,"第二编 物 权,第四分编 担 保 物 权,第十六章 一 般 规 定,无,第三百九十条【担保物权的物上代位性及代位物的提存】担保期间担保财产毁损、灭失或者被征收等担保物权人可以就获得的保险金、赔偿金或者补偿金等优先受偿。被担保债权的履行期限未届满的也可以提存该保险金、赔偿金或者补偿金等。","第七编 侵权责任,无,第七章 环境污染和生态破坏责任,无,第一千二百三十条【环境污染、生态破坏侵权举证责任】因污染环境、破坏生态发生纠纷行为人应当就法律规定的不承担责任或者减轻责任的情形及其行为与损害之间不存在因果关系承担举证责任。"
担保物权在担保财产毁损灭失或被征收时的优先受偿权及代位物提存规定,"第二编 物 权,第四分编 担 保 物 权,第十六章 一 般 规 定,无,第三百九十条【担保物权的物上代位性及代位物的提存】担保期间担保财产毁损、灭失或者被征收等担保物权人可以就获得的保险金、赔偿金或者补偿金等优先受偿。被担保债权的履行期限未届满的也可以提存该保险金、赔偿金或者补偿金等。","第三编 合 同,第一分编 通 则,第二章 合同的订立,无,第四百九十二条【合同成立地点】承诺生效的地点为合同成立的地点。采用数据电文形式订立合同的收件人的主营业地为合同成立的地点没有主营业地的其住所地为合同成立的地点。当事人另有约定的按照其约定。"
担保物权的物上代位性及代位物提存规定,"第二编 物 权,第四分编 担 保 物 权,第十六章 一 般 规 定,无,第三百九十条【担保物权的物上代位性及代位物的提存】担保期间担保财产毁损、灭失或者被征收等担保物权人可以就获得的保险金、赔偿金或者补偿金等优先受偿。被担保债权的履行期限未届满的也可以提存该保险金、赔偿金或者补偿金等。","第二编 物 权,第三分编 用 益 物 权,第十二章 建设用地使用权,无,第三百五十六条【建筑物等设施随建设用地使用权的流转而一并处分】建设用地使用权转让、互换、出资或者赠与的附着于该土地上的建筑物、构筑物及其附属设施一并处分。"
担保人未经同意债务转移的法律后果,"第二编 物 权,第四分编 担 保 物 权,第十六章 一 般 规 定,无,第三百九十一条【未经担保人同意转移债务的法律后果】第三人提供担保未经其书面同意债权人允许债务人转移全部或者部分债务的担保人不再承担相应的担保责任。","第四编 人 格 权,无,第四章 肖 像 权,无,第一千零一十九条【肖像权消极权能】任何组织或者个人不得以丑化、污损或者利用信息技术手段伪造等方式侵害他人的肖像权。未经肖像权人同意不得制作、使用、公开肖像权人的肖像但是法律另有规定的除外。未经肖像权人同意肖像作品权利人不得以发表、复制、发行、出租、展览等方式使用或者公开肖像权人的肖像。"
未经担保人同意转移债务的法律后果,"第二编 物 权,第四分编 担 保 物 权,第十六章 一 般 规 定,无,第三百九十一条【未经担保人同意转移债务的法律后果】第三人提供担保未经其书面同意债权人允许债务人转移全部或者部分债务的担保人不再承担相应的担保责任。","第五编 婚 姻 家 庭,无,第四章 离 婚,无,第一千零七十九条【诉讼离婚】夫妻一方要求离婚的可以由有关组织进行调解或者直接向人民法院提起离婚诉讼。人民法院审理离婚案件应当进行调解如果感情确已破裂调解无效的应当准予离婚。有下列情形之一调解无效的应当准予离婚一方被宣告失踪另一方提起离婚诉讼的应当准予离婚。经人民法院判决不准离婚后双方又分居满一年一方再次提起离婚诉讼的应当准予离婚。"
担保人未书面同意债务转移的法律后果,"第二编 物 权,第四分编 担 保 物 权,第十六章 一 般 规 定,无,第三百九十一条【未经担保人同意转移债务的法律后果】第三人提供担保未经其书面同意债权人允许债务人转移全部或者部分债务的担保人不再承担相应的担保责任。","第三编 合同,第二分编 典型合同,第十三章 保证合同,第二节 保证责任,第六百九十三条【保证责任免除】一般保证的债权人未在保证期间对债务人提起诉讼或者申请仲裁的保证人不再承担保证责任。连带责任保证的债权人未在保证期间请求保证人承担保证责任的保证人不再承担保证责任。"
当被担保的债权同时存在物的担保和人的担保时，债权人应当如何行使担保权利？,"第二编 物 权,第四分编 担 保 物 权,第十六章 一 般 规 定,无,第三百九十二条【人保和物保并存时担保权的实行规则】被担保的债权既有物的担保又有人的担保的债务人不履行到期债务或者发生当事人约定的实现担保物权的情形债权人应当按照约定实现债权没有约定或者约定不明确债务人自己提供物的担保的债权人应当先就该物的担保实现债权第三人提供物的担保的债权人可以就物的担保实现债权也可以请求保证人承担保证责任。提供担保的第三人承担担保责任后有权向债务人追偿。","第六编 继 承,无,第一章 一 般 规 定,无,第一千一百二十条【继承权受国家保护】国家保护自然人的继承权。"
被担保的债权同时存在物的担保和人的担保时，债权人应如何行使权利？,"第二编 物 权,第四分编 担 保 物 权,第十六章 一 般 规 定,无,第三百九十二条【人保和物保并存时担保权的实行规则】被担保的债权既有物的担保又有人的担保的债务人不履行到期债务或者发生当事人约定的实现担保物权的情形债权人应当按照约定实现债权没有约定或者约定不明确债务人自己提供物的担保的债权人应当先就该物的担保实现债权第三人提供物的担保的债权人可以就物的担保实现债权也可以请求保证人承担保证责任。提供担保的第三人承担担保责任后有权向债务人追偿。","第三编 合同,第二分编 典型合同,第十三章 保证合同,第一节 一般规定,第六百九十条【最高额保证合同】保证人与债权人可以协商订立最高额保证的合同约定在最高债权额限度内就一定期间连续发生的债权提供保证。最高额保证除适用本章规定外参照适用本法第二编最高额抵押权的有关规定。"
被担保的债权同时存在物的担保和人的担保时，债权人应当如何实现债权？,"第二编 物 权,第四分编 担 保 物 权,第十六章 一 般 规 定,无,第三百九十二条【人保和物保并存时担保权的实行规则】被担保的债权既有物的担保又有人的担保的债务人不履行到期债务或者发生当事人约定的实现担保物权的情形债权人应当按照约定实现债权没有约定或者约定不明确债务人自己提供物的担保的债权人应当先就该物的担保实现债权第三人提供物的担保的债权人可以就物的担保实现债权也可以请求保证人承担保证责任。提供担保的第三人承担担保责任后有权向债务人追偿。","第三编 合同,第二分编 典型合同,第十三章 保证合同,第一节 一般规定,第六百九十条【最高额保证合同】保证人与债权人可以协商订立最高额保证的合同约定在最高债权额限度内就一定期间连续发生的债权提供保证。最高额保证除适用本章规定外参照适用本法第二编最高额抵押权的有关规定。"
担保物权消灭事由的法律规定,"第二编 物 权,第四分编 担 保 物 权,第十六章 一 般 规 定,无,第三百九十三条【担保物权消灭事由】有下列情形之一的担保物权消灭","第一编 总 则,无,第十章 期 间 计 算,无,第二百零一条【期间起算】按照年、月、日计算期间的开始的当日不计入自下一日开始计算。按照小时计算期间的自法律规定或者当事人约定的时间开始计算。"
担保物权在什么情况下会消灭？,"第二编 物 权,第四分编 担 保 物 权,第十六章 一 般 规 定,无,第三百九十三条【担保物权消灭事由】有下列情形之一的担保物权消灭","第三编 合同,第二分编 典型合同,第九章 买卖合同,无,第六百条【知识产权归属】出卖具有知识产权的标的物的除法律另有规定或者当事人另有约定外该标的物的知识产权不属于买受人。"
担保物权消灭的情形有哪些,"第二编 物 权,第四分编 担 保 物 权,第十六章 一 般 规 定,无,第三百九十三条【担保物权消灭事由】有下列情形之一的担保物权消灭","第二编 物 权,第三分编 用 益 物 权,第十章 一 般 规 定,无,第三百二十五条【自然资源使用制度】国家实行自然资源有偿使用制度但是法律另有规定的除外。"
民法典抵押权定义及优先受偿规定,"第二编 物 权,第四分编 担 保 物 权,第十七章 抵 押 权,第一节 一般抵押权,第三百九十四条【抵押权的定义】为担保债务的履行债务人或者第三人不转移财产的占有将该财产抵押给债权人的债务人不履行到期债务或者发生当事人约定的实现抵押权的情形债权人有权就该财产优先受偿。前款规定的债务人或者第三人为抵押人债权人为抵押权人提供担保的财产为抵押财产。","第二编 物 权,第三分编 用 益 物 权,第十二章 建设用地使用权,无,第三百四十九条【建设用地使用权的登记】设立建设用地使用权的应当向登记机构申请建设用地使用权登记。建设用地使用权自登记时设立。登记机构应当向建设用地使用权人发放权属证书。"
抵押权的定义及债务人不履行债务时的处理规定,"第二编 物 权,第四分编 担 保 物 权,第十七章 抵 押 权,第一节 一般抵押权,第三百九十四条【抵押权的定义】为担保债务的履行债务人或者第三人不转移财产的占有将该财产抵押给债权人的债务人不履行到期债务或者发生当事人约定的实现抵押权的情形债权人有权就该财产优先受偿。前款规定的债务人或者第三人为抵押人债权人为抵押权人提供担保的财产为抵押财产。","第三编 合同,第二分编 典型合同,第二十章 技术合同,第二节 技术开发合同,第八百五十四条【委托开发合同的违约责任】委托开发合同的当事人违反约定造成研究开发工作停滞、延误或者失败的应当承担违约责任。"
抵押权的定义及债务人或第三人提供财产担保的法律规定,"第二编 物 权,第四分编 担 保 物 权,第十七章 抵 押 权,第一节 一般抵押权,第三百九十四条【抵押权的定义】为担保债务的履行债务人或者第三人不转移财产的占有将该财产抵押给债权人的债务人不履行到期债务或者发生当事人约定的实现抵押权的情形债权人有权就该财产优先受偿。前款规定的债务人或者第三人为抵押人债权人为抵押权人提供担保的财产为抵押财产。","第六编 继 承,无,第三章 遗嘱继承和遗赠,无,第一千一百三十六条【打印遗嘱】打印遗嘱应当有两个以上见证人在场见证。遗嘱人和见证人应当在遗嘱每一页签名注明年、月、日。"
《民法典》中关于抵押财产范围的规定是什么？,"第二编 物 权,第四分编 担 保 物 权,第十七章 抵 押 权,第一节 一般抵押权,第三百九十五条【抵押财产的范围】债务人或者第三人有权处分的下列财产可以抵押抵押人可以将前款所列财产一并抵押。","第一编 总 则,无,第二章 自 然 人,第三节 宣告失踪和宣告死亡,第五十条【死亡宣告的撤销】被宣告死亡的人重新出现经本人或者利害关系人申请人民法院应当撤销死亡宣告。"
抵押财产的范围及一般抵押权规定,"第二编 物 权,第四分编 担 保 物 权,第十七章 抵 押 权,第一节 一般抵押权,第三百九十五条【抵押财产的范围】债务人或者第三人有权处分的下列财产可以抵押抵押人可以将前款所列财产一并抵押。","第一编 总 则,无,第八章 民 事 责 任,无,第一百七十七条【按份责任】二人以上依法承担按份责任能够确定责任大小的各自承担相应的责任难以确定责任大小的平均承担责任。"
抵押权中债务人或第三人有权处分的抵押财产范围,"第二编 物 权,第四分编 担 保 物 权,第十七章 抵 押 权,第一节 一般抵押权,第三百九十五条【抵押财产的范围】债务人或者第三人有权处分的下列财产可以抵押抵押人可以将前款所列财产一并抵押。","第五编 婚 姻 家 庭,无,第一章 一 般 规 定,无,第一千零四十一条【基本原则】婚姻家庭受国家保护。实行婚姻自由、一夫一妻、男女平等的婚姻制度。保护妇女、未成年人、老年人、残疾人的合法权益。"
企业如何通过浮动抵押担保债务？债权人实现浮动抵押权的条件是什么？,"第二编 物 权,第四分编 担 保 物 权,第十七章 抵 押 权,第一节 一般抵押权,第三百九十六条【浮动抵押】企业、个体工商户、农业生产经营者可以将现有的以及将有的生产设备、原材料、半成品、产品抵押债务人不履行到期债务或者发生当事人约定的实现抵押权的情形债权人有权就抵押财产确定时的动产优先受偿。","第三编 合同,第二分编 典型合同,第十章 供用电、水、气、热力合同,无,第六百五十条【供用电合同履行地】供用电合同的履行地点按照当事人约定当事人没有约定或者约定不明确的供电设施的产权分界处为履行地点。"
民法典中关于浮动抵押的法律规定是什么？,"第二编 物 权,第四分编 担 保 物 权,第十七章 抵 押 权,第一节 一般抵押权,第三百九十六条【浮动抵押】企业、个体工商户、农业生产经营者可以将现有的以及将有的生产设备、原材料、半成品、产品抵押债务人不履行到期债务或者发生当事人约定的实现抵押权的情形债权人有权就抵押财产确定时的动产优先受偿。","第七编 侵 权 责 任,无,第二章 损 害 赔 偿,无,第一千一百七十九条【人身损害赔偿范围】侵害他人造成人身损害的应当赔偿医疗费、护理费、交通费、营养费、住院伙食补助费等为治疗和康复支出的合理费用以及因误工减少的收入。造成残疾的还应当赔偿辅助器具费和残疾赔偿金造成死亡的还应当赔偿丧葬费和死亡赔偿金。"
《民法典》中关于企业浮动抵押权的法律规定是什么？,"第二编 物 权,第四分编 担 保 物 权,第十七章 抵 押 权,第一节 一般抵押权,第三百九十六条【浮动抵押】企业、个体工商户、农业生产经营者可以将现有的以及将有的生产设备、原材料、半成品、产品抵押债务人不履行到期债务或者发生当事人约定的实现抵押权的情形债权人有权就抵押财产确定时的动产优先受偿。","第三编 合 同,第一分编 通 则,第二章 合同的订立,无,第四百七十条【合同主要条款与示范文本】合同的内容由当事人约定一般包括下列条款当事人可以参照各类合同的示范文本订立合同。"
抵押建筑物时建设用地使用权是否需要一并抵押,"第二编 物 权,第四分编 担 保 物 权,第十七章 抵 押 权,第一节 一般抵押权,第三百九十七条【建筑物与建设用地使用权同时抵押规则】以建筑物抵押的该建筑物占用范围内的建设用地使用权一并抵押。以建设用地使用权抵押的该土地上的建筑物一并抵押。抵押人未依据前款规定一并抵押的未抵押的财产视为一并抵押。","第二编 物 权,第二分编 所 有 权,第五章 国家所有权和集体,无,第二百四十九条【国家所有土地的范围】城市的土地属于国家所有。法律规定属于国家所有的农村和城市郊区的土地属于国家所有。"
根据《民法典》规定，以建筑物抵押时其占用范围内的建设用地使用权如何处理？,"第二编 物 权,第四分编 担 保 物 权,第十七章 抵 押 权,第一节 一般抵押权,第三百九十七条【建筑物与建设用地使用权同时抵押规则】以建筑物抵押的该建筑物占用范围内的建设用地使用权一并抵押。以建设用地使用权抵押的该土地上的建筑物一并抵押。抵押人未依据前款规定一并抵押的未抵押的财产视为一并抵押。","第二编 物 权,第三分编 用 益 物 权,第十五章 地 役 权,无,第三百八十二条【地役权对需役地及其上权利的不可分性】需役地以及需役地上的土地承包经营权、建设用地使用权等部分转让时转让部分涉及地役权的受让人同时享有地役权。"
建筑物抵押时建设用地使用权是否必须一并抵押的法律规定,"第二编 物 权,第四分编 担 保 物 权,第十七章 抵 押 权,第一节 一般抵押权,第三百九十七条【建筑物与建设用地使用权同时抵押规则】以建筑物抵押的该建筑物占用范围内的建设用地使用权一并抵押。以建设用地使用权抵押的该土地上的建筑物一并抵押。抵押人未依据前款规定一并抵押的未抵押的财产视为一并抵押。","第六编 继 承,无,第三章 遗嘱继承和遗赠,无,第一千一百三十三条【遗嘱处分个人财产】自然人可以依照本法规定立遗嘱处分个人财产并可以指定遗嘱执行人。自然人可以立遗嘱将个人财产指定由法定继承人中的一人或者数人继承。自然人可以立遗嘱将个人财产赠与国家、集体或者法定继承人以外的组织、个人。自然人可以依法设立遗嘱信托。"
乡镇、村企业建设用地使用权抵押的法律规定,"第二编 物 权,第四分编 担 保 物 权,第十七章 抵 押 权,第一节 一般抵押权,第三百九十八条【乡镇、村企业的建设用地使用权抵押限制】乡镇、村企业的建设用地使用权不得单独抵押。以乡镇、村企业的厂房等建筑物抵押的其占用范围内的建设用地使用权一并抵押。","第七编 侵 权 责 任,无,第八章 高度危险责任,无,第一千二百四十四条【高度危险责任赔偿限额】承担高度危险责任法律规定赔偿限额的依照其规定但是行为人有故意或者重大过失的除外。"
乡镇、村企业建设用地使用权抵押限制及厂房抵押法律规定,"第二编 物 权,第四分编 担 保 物 权,第十七章 抵 押 权,第一节 一般抵押权,第三百九十八条【乡镇、村企业的建设用地使用权抵押限制】乡镇、村企业的建设用地使用权不得单独抵押。以乡镇、村企业的厂房等建筑物抵押的其占用范围内的建设用地使用权一并抵押。","第四编 人 格 权,无,第一章 一 般 规 定,无,第九百九十一条【民事主体的人格权不受侵害】民事主体的人格权受法律保护任何组织或者个人不得侵害。"
乡镇企业建设用地使用权抵押的限制规定,"第二编 物 权,第四分编 担 保 物 权,第十七章 抵 押 权,第一节 一般抵押权,第三百九十八条【乡镇、村企业的建设用地使用权抵押限制】乡镇、村企业的建设用地使用权不得单独抵押。以乡镇、村企业的厂房等建筑物抵押的其占用范围内的建设用地使用权一并抵押。","第二编 物 权,第二分编 所 有 权,第六章 业主的建筑物区分所有权,无,第二百七十六条【车位、车库的首要用途】建筑区划内规划用于停放汽车的车位、车库应当首先满足业主的需要。"
《民法典》中关于禁止抵押的教育设施和公益设施的法律规定,"第二编 物 权,第四分编 担 保 物 权,第十七章 抵 押 权,第一节 一般抵押权,第三百九十九条【禁止抵押的财产范围】下列财产不得抵押法律规定可以抵押的除外的教育设施、医疗卫生设施和其他公益设施","第二编 物 权,第三分编 用 益 物 权,第十五章 地 役 权,无,第三百八十五条【已登记地役权的变更、转让或消灭手续】已经登记的地役权变更、转让或者消灭的应当及时办理变更登记或者注销登记。"
哪些财产不得抵押？特别是教育设施、医疗卫生设施和其他公益设施的抵押规定,"第二编 物 权,第四分编 担 保 物 权,第十七章 抵 押 权,第一节 一般抵押权,第三百九十九条【禁止抵押的财产范围】下列财产不得抵押法律规定可以抵押的除外的教育设施、医疗卫生设施和其他公益设施","第三编 合 同,第二分编 典 型 合 同,第九章 买 卖 合 同,无,第五百九十九条【出卖人交付有关单证和资料义务】出卖人应当按照约定或者交易习惯向买受人交付提取标的物单证以外的有关单证和资料。"
根据民法典规定，教育设施和医疗卫生设施是否属于禁止抵押的财产范围？,"第二编 物 权,第四分编 担 保 物 权,第十七章 抵 押 权,第一节 一般抵押权,第三百九十九条【禁止抵押的财产范围】下列财产不得抵押法律规定可以抵押的除外的教育设施、医疗卫生设施和其他公益设施","第七编 侵 权 责 任,无,第十章 建筑物和物件损害责任,无,第一千二百五十五条【堆放物倒塌、滚落或者滑落致害责任】堆放物倒塌、滚落或者滑落造成他人损害堆放人不能证明自己没有过错的应当承担侵权责任。"
抵押合同应当采用书面形式订立，抵押合同一般包括哪些条款？,"第二编 物 权,第四分编 担 保 物 权,第十七章 抵 押 权,第一节 一般抵押权,第四百条【抵押合同】设立抵押权当事人应当采用书面形式订立抵押合同。抵押合同一般包括下列条款","第一编 总 则,无,第九章 诉 讼 时 效,无,第一百九十一条【受性侵未成年人赔偿请求权的诉讼时效】未成年人遭受性侵害的损害赔偿请求权的诉讼时效期间自受害人年满十八周岁之日起计算。"
设立抵押权需要采用书面形式的法律规定,"第二编 物 权,第四分编 担 保 物 权,第十七章 抵 押 权,第一节 一般抵押权,第四百条【抵押合同】设立抵押权当事人应当采用书面形式订立抵押合同。抵押合同一般包括下列条款","第三编 合 同,第二分编 典 型 合 同,第十八章 建设工程合同,无,第七百九十九条【建设工程的竣工验收】建设工程竣工后发包人应当根据施工图纸及说明书、国家颁发的施工验收规范和质量检验标准及时进行验收。验收合格的发包人应当按照约定支付价款并接收该建设工程。建设工程竣工经验收合格后方可交付使用未经验收或者验收不合格的不得交付使用。"
抵押权设立需要签订书面抵押合同吗？抵押合同应包含哪些条款？,"第二编 物 权,第四分编 担 保 物 权,第十七章 抵 押 权,第一节 一般抵押权,第四百条【抵押合同】设立抵押权当事人应当采用书面形式订立抵押合同。抵押合同一般包括下列条款","第四编 人 格 权,无,第二章 生命权、身体权和健康权,无,第一千零七条【禁止人体买卖】禁止以任何形式买卖人体细胞、人体组织、人体器官、遗体。违反前款规定的买卖行为无效。"
抵押权债务履行期满未履行时抵押财产如何处理,"第二编 物 权,第四分编 担 保 物 权,第十七章 抵 押 权,第一节 一般抵押权,第四百零一条【流押】抵押权人在债务履行期限届满前与抵押人约定债务人不履行到期债务时抵押财产归债权人所有的只能依法就抵押财产优先受偿。","第四编 人 格 权,无,第六章 隐私权和个人信息保护,无,第一千零三十五条【个人信息处理的原则和条件】处理个人信息的应当遵循合法、正当、必要原则不得过度处理并符合下列条件有规定的除外个人信息的处理包括个人信息的收集、存储、使用、加工、传输、提供、公开等。"
《民法典》中关于抵押权流押条款的规定，抵押权人与抵押人约定债务不履行时抵押财产归属的法律规定,"第二编 物 权,第四分编 担 保 物 权,第十七章 抵 押 权,第一节 一般抵押权,第四百零一条【流押】抵押权人在债务履行期限届满前与抵押人约定债务人不履行到期债务时抵押财产归债权人所有的只能依法就抵押财产优先受偿。","第三编 合 同,第二分编 典 型 合 同,第十一章 赠 与 合 同,无,第六百六十一条【附义务赠与合同】赠与可以附义务。赠与附义务的受赠人应当按照约定履行义务。"
抵押权人债务履行期届满前约定抵押财产归债权人所有如何处理,"第二编 物 权,第四分编 担 保 物 权,第十七章 抵 押 权,第一节 一般抵押权,第四百零一条【流押】抵押权人在债务履行期限届满前与抵押人约定债务人不履行到期债务时抵押财产归债权人所有的只能依法就抵押财产优先受偿。","第七编 侵 权 责 任,无,第一章 一 般 规 定,无,第一千一百六十八条【共同侵权】二人以上共同实施侵权行为造成他人损害的应当承担连带责任。"
《民法典》中关于不动产抵押登记及抵押权设立的法律规定,"第二编 物 权,第四分编 担 保 物 权,第十七章 抵 押 权,第一节 一般抵押权,第四百零二条【不动产抵押登记】以本法第三百九十五条第一款第一项至第三项规定的财产或者第五项规定的正在建造的建筑物抵押的应当办理抵押登记。抵押权自登记时设立。","第四编 人 格 权,无,第二章 生命权、身体权和健康权,无,第一千零七条【禁止人体买卖】禁止以任何形式买卖人体细胞、人体组织、人体器官、遗体。违反前款规定的买卖行为无效。"
